,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
333,PA-10,Scott Perry,14.85,35.15,Scott Perry,-6.0,LEAN_REPUBLICAN
218,MN-07,Collin C. Peterson,85.48,35.480000000000004,Collin Peterson,-12.0,LIKELY_DEMOCRATIC
382,TX-22,Pete Olson,14.17,35.83,Pete Olson,-10.0,SOLID_REPUBLICAN
240,NC-08,Richard Hudson,14.12,35.88,Richard Hudson,-8.0,LIKELY_REPUBLICAN
21,CA-01,Doug LaMalfa,13.94,36.06,Doug LaMalfa,-11.0,SOLID_REPUBLICAN
17,AZ-06,David Schweikert,13.39,36.61,David Schweikert,-9.0,LIKELY_REPUBLICAN
330,PA-07,Open seat,86.77,36.769999999999996,Vacant,1.0,LEAN_DEMOCRATIC
253,NJ-02,Open seat,87.08,37.08,Open seat,-1.0,LIKELY_DEMOCRATIC
166,KS-04,Ron Estes,12.73,37.269999999999996,Ron Estes,-15.0,SOLID_REPUBLICAN
24,CA-04,Tom McClintock,12.5,37.5,Tom McClintock,-10.0,LIKELY_REPUBLICAN
348,SC-05,Ralph Norman,12.36,37.64,Ralph Norman,-9.0,SOLID_REPUBLICAN
232,MT-01,Greg Gianforte,12.18,37.82,Greg Gianforte,-11.0,LEAN_REPUBLICAN
392,TX-32,Pete Sessions,11.74,38.26,Pete Sessions,-5.0,TOSS_UP_REPUBLICAN
102,FL-16,Vern Buchanan,11.59,38.41,Vern Buchanan,-7.0,LEAN_REPUBLICAN
304,OH-07,Bob Gibbs,11.38,38.62,Bob Gibbs,-12.0,SOLID_REPUBLICAN
271,NY-01,Lee Zeldin,10.95,39.05,Lee Zeldin,-5.0,LIKELY_REPUBLICAN
234,NC-02,George Holding,10.74,39.26,George Holding,-6.0,LIKELY_REPUBLICAN
221,MO-02,Ann Wagner,10.17,39.83,Ann Wagner,-8.0,LIKELY_REPUBLICAN
415,WA-03,Jaime Herrera Beutler,10.0,40.0,Jaime Herrera Beutler,-4.0,LEAN_REPUBLICAN
13,AZ-02,Open seat,90.01,40.010000000000005,Open seat,-1.0,LEAN_DEMOCRATIC
70,CA-50,Duncan D. Hunter,8.17,41.83,Duncan Hunter,-11.0,SOLID_REPUBLICAN
402,VA-02,Scott Taylor,8.14,41.86,Scott Taylor,-3.0,LEAN_REPUBLICAN
362,TX-02,Open seat,7.84,42.16,Open seat,-11.0,LIKELY_REPUBLICAN
104,FL-18,Brian Mast,7.58,42.42,Brian Mast,-5.0,LEAN_REPUBLICAN
155,IN-02,Jackie Walorski,7.46,42.54,Jackie Walorski,-11.0,LIKELY_REPUBLICAN
291,NY-21,Elise Stefanik,7.38,42.62,Elise Stefanik,-4.0,SOLID_REPUBLICAN
239,NC-07,David Rouzer,7.18,42.82,David Rouzer,-9.0,SOLID_REPUBLICAN
385,TX-25,Roger Williams,7.09,42.91,Roger Williams,-11.0,SOLID_REPUBLICAN
